,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
191,sz399002,深成指R,14925.146,-192.54,-1.274,15117.686,15058.991,15068.632,14920.408,14987144801,287125893045
192,sz399003,成份Ｂ指,8161.917,-62.187,-0.756,8224.104,8177.267,8180.673,8137.731,5920226,34809967
193,sz399004,深证100R,7034.407,-92.374,-1.296,7126.781,7088.09,7088.09,7030.319,3885574735,107729080211
194,sz399005,中小100,7734.674,-128.944,-1.64,7863.618,7823.275,7823.275,7729.928,3301432690,74186030008
195,sz399006,创业板指,2406.082,-23.211,-0.955,2429.293,2418.271,2426.834,2403.916,16141443429,287101104016
196,sz399007,深证300,4967.623,-66.52,-1.321,5034.143,5012.574,5013.417,4965.782,9395086052,213447901172
197,sz399008,中小300,1512.823,-21.352,-1.392,1534.175,1528.299,1528.299,1511.964,8085995654,127953413324
198,sz399009,深证200,4290.819,-59.799,-1.374,4350.618,4342.459,4346.08,4290.807,5509511317,105718820961
199,sz399010,深证700,7556.87,-83.304,-1.09,7640.174,7623.718,7646.988,7554.103,16647661946,209581346961
200,sz399011,深证1000,5678.179,-71.826,-1.249,5750.005,5729.199,5735.271,5677.349,26042747998,423029248133
201,sz399012,创业300,3496.495,-41.097,-1.162,3537.592,3522.093,3535.507,3496.212,7663688983,166141426272
202,sz399013,深市精选,5157.05,-69.35,-1.327,5226.4,5209.275,5209.275,5154.254,12734682163,220830200653
203,sz399015,中小创新,2558.881,-29.05,-1.123,2587.931,2582.068,2589.678,2557.826,11055603197,135903355088
204,sz399016,深证创新,4788.525,-107.093,-2.188,4895.618,4865.192,4874.797,4788.463,3063702926,100998032361
205,sz399017,SME创新,3957.901,-62.48,-1.554,4020.381,4010.521,4013.062,3957.181,2330683258,65256686949
206,sz399018,创业创新,4848.104,-94.155,-1.905,4942.259,4916.233,4935.786,4848.104,1840761180,71493505863
207,sz399030,碳科技30,3727.248,-48.264,-1.278,3775.512,3764.343,3778.522,3724.044,472247355,19970272289
208,sz399050,创新引擎,2751.509,-45.544,-1.628,2797.053,2780.011,2780.011,2751.468,1509181905,32714866897
209,sz399060,碳科技60,2941.417,-49.258,-1.647,2990.675,2973.675,2975.935,2937.656,1616050417,51752849224
210,sz399088,深创100,3708.652,-68.322,-1.809,3776.974,3754.528,3755.38,3706.304,3161557674,110177687686
211,sz399100,新指数,9862.834,-96.909,-0.973,9959.743,9930.521,9949.566,9858.252,43210741444,616684906060
212,sz399101,中小综指,12384.588,-139.055,-1.11,12523.643,12489.689,12493.553,12375.938,17567525974,215081217535
213,sz399102,创业板综,2952.184,-30.068,-1.008,2982.252,2970.57,2983.07,2951.991,16141443429,287101104016
214,sz399103,乐富指数,7445.146,-71.342,-0.949,7516.488,7489.749,7489.83,7439.751,21912946881,26146539035
215,sz399106,深证综指,2126.314,-20.849,-0.971,2147.163,2140.862,2144.984,2125.345,44518489587,625759106965
216,sz399107,深证Ａ指,2224.512,-21.824,-0.972,2246.336,2239.749,2244.068,2223.5,44504189861,625686888058
217,sz399108,深证Ｂ指,1182.996,-7.024,-0.59,1190.02,1185.021,1185.021,1180.355,14299726,72218907
218,sz399231,农林指数,1500.322,-11.766,-0.778,1512.088,1506.479,1514.764,1498.906,358132089,4838340968
219,sz399232,采矿指数,2724.014,-23.809,-0.866,2747.823,2744.783,2771.173,2714.78,627767000,6081628064
220,sz399233,制造指数,2662.065,-34.252,-1.27,2696.317,2688.725,2688.725,2661.262,20648383563,339028676247
221,sz399234,水电指数,865.451,7.152,0.833,858.299,862.949,871.62,862.113,850279611,5507937010
222,sz399235,建筑指数,1205.698,3.355,0.279,1202.343,1206.072,1216.822,1201.258,738026201,7030196958
223,sz399236,批零指数,1393.242,4.927,0.355,1388.315,1387.212,1398.166,1380.79,1143466959,10060966353
224,sz399237,运输指数,1206.753,-3.014,-0.249,1209.767,1203.476,1210.081,1197.772,294193041,2971976607
225,sz399238,餐饮指数,2500.908,161.487,6.903,2339.421,2332.188,2518.138,2310.862,230938821,3295287319
226,sz399239,IT指数,2029.244,-49.521,-2.382,2078.765,2063.095,2088.921,2029.112,9758958793,149520424918
227,sz399240,金融指数,1229.199,-10.722,-0.865,1239.921,1231.754,1237.866,1225.189,1429499073,17799789457
228,sz399241,地产指数,1790.363,-7.429,-0.413,1797.792,1791.028,1802.479,1781.746,1281316038,5942297569
229,sz399242,商务指数,1146.958,14.995,1.325,1131.963,1138.669,1165.683,1138.669,1947974955,17191511008
230,sz399243,科研指数,1750.719,48.352,2.84,1702.367,1701.534,1759.786,1690.204,468461147,10320935015
231,sz399244,公共指数,621.055,4.205,0.682,616.85,616.935,621.925,613.893,706863309,7025644370
232,sz399248,文化指数,1053.495,-4.386,-0.415,1057.881,1059.243,1088.736,1051.574,2273264659,25305402976
